web-scraper-order,web-scraper-start-url,title,title-href,vid
"1560013262-360","http://www.blackandwhitemovies.org/movies-list","Three Blondes in His Life (1961)","http://www.blackandwhitemovies.org/three-blondes-in-his-life-1961.html","http://www.archive.org/download/Three_Blondes_in_His_Life_movie/Three_Blondes_in_His_Life_512kb.mp4"
"1560013916-421","http://www.blackandwhitemovies.org/movies-list","Rain (1932)","http://www.blackandwhitemovies.org/rain-1932.html","http://www.archive.org/download/rain1932/Rain_512kb.mp4"
"1560013942-424","http://www.blackandwhitemovies.org/movies-list","Pride and Prejudice (1940)","http://www.blackandwhitemovies.org/pride-and-prejudice-1940.html","http://www.archive.org/download/PrideAndPrejudice1940/pp_512kb.mp4"
"1560013817-412","http://www.blackandwhitemovies.org/movies-list","Secret Police (1939)","http://www.blackandwhitemovies.org/secret-police-1939.html","http://www.archive.org/download/BulldogDrummondSecretPolice1939/BulldogDrummondSecretPolice1939_512kb.mp4"
"1560014030-432","http://www.blackandwhitemovies.org/movies-list","Night of the Living Dead (1968)","http://www.blackandwhitemovies.org/night-of-the-living-dead-1968.html","http://www.archive.org/download/Night.Of.The.Living.Dead_1080p/NightOfTheLivingDead_DVD5_512kb.mp4"
"1560014191-449","http://www.blackandwhitemovies.org/movies-list","Horrors of Spider Island (1960)","http://www.blackandwhitemovies.org/horrors-of-spider-island-1960.html","http://www.archive.org/download/Horrors_of_Spider_Island/Horrors_of_Spider_Island_512kb.mp4"
"1560013490-380","http://www.blackandwhitemovies.org/movies-list","The Ace of Hearts (1921)","http://www.blackandwhitemovies.org/the-ace-of-hearts-1921.html","http://www.archive.org/download/Ace_of_Hearts_1921/Ace_of_Hearts_512kb.mp4"
"1560013196-354","http://www.blackandwhitemovies.org/movies-list","The Martyrs of the Alamo (1915) The Birth of Texas","http://www.blackandwhitemovies.org/the-martyrs-of-the-alamo-1915-the-birth-of-texas.html","http://www.archive.org/download/TheMartyrsoftheAlamo/TheMartyrsoftheAlamo/TheMartyrsoftheAlamo_512kb.mp4"
"1560014448-473","http://www.blackandwhitemovies.org/movies-list","Cause for Alarm! (1951)","http://www.blackandwhitemovies.org/cause-for-alarm-1951.html","http://www.archive.org/download/cause_for_alarm_1951/cause_for_alarm_1951_512kb.mp4"
"1560013986-428","http://www.blackandwhitemovies.org/movies-list","One Week (1920)","http://www.blackandwhitemovies.org/one-week-1920.html","http://www.archive.org/download/one_week_1920/one_week_512kb.mp4"
"1560014728-501","http://www.blackandwhitemovies.org/movies-list","A Jazzed Honeymoon (1919)","http://www.blackandwhitemovies.org/a-jazzed-honeymoon-1919.html","http://www.archive.org/download/A_Jazzed_Honeymoon_1919/A_Jazzed_Honeymoon_1919_512kb.mp4"
"1560014756-506","http://www.blackandwhitemovies.org/movies-list","A Yank in Libya (1942)","http://www.blackandwhitemovies.org/a-yank-in-libya-1942.html","http://www.archive.org/download/AYankinLibya/AYankinLibya_512kb.mp4"
"1560014715-499","http://www.blackandwhitemovies.org/movies-list","Bluebeard (1944)","http://www.blackandwhitemovies.org/bluebeard-1944.html","http://www.archive.org/download/Bluebeard/Bluebeard_512kb.mp4"
"1560013185-353","http://www.blackandwhitemovies.org/movies-list","The Mark of Zorro (1920)","http://www.blackandwhitemovies.org/the-mark-of-zorro-1920.html","http://www.archive.org/download/markofzorro-1920/markofzorro_512kb.mp4"
"1560013920-422","http://www.blackandwhitemovies.org/movies-list","Panic In The Streets (1950)","http://www.blackandwhitemovies.org/panic-in-the-streets-1950.html","null"
"1560013087-344","http://www.blackandwhitemovies.org/movies-list","Woman on the Run (1950)","http://www.blackandwhitemovies.org/woman-on-the-run-1950.html","http://www.archive.org/download/Woman_on_the_Run/Woman_on_the_Run_512kb.mp4"
